animal		backbone  	liveOnLand  	giveBirth  	breathWithLungs		has4legs	canFly
Toad		true		true		true		false			true		false	
Salamander 	true		true		true		false			true		false
Snake		true		true		true		true			false		false
Turtle		true		true		true		true			true		false		
Lizard		true		true		true		true			true		false
Dinosaur	true		true		true		true			true		false
Chameleon	true		true		true		true			true		false
Crocodile	true		true		true		true			true		false
Gekko		true		true		true		true			true		false
Bat		true		true		true		true			true		true
Rat		true		true		true		true			true		false
Monkey		true		true		true 		true			true		false
Panda		true		true		true 		true			true		false
Bear		true		true		true 		true			true		false
Squirrel	true		true		true 		true			true		false
Deer		true		true		true 		true			true		false
Cat		true		true		true 		true			true		false
Dog		true		true		true 		true			true		false
Pig		true		true		true 		true			true		false
Horse		true		true		true 		true			true		false
Shark		true		false		true 		false			false		false
Whale		true		false		true 		false			false		false
Goldfish	true		false		true 		false			false		false
Salmon		true		false		true 		false			false		false
